book_id,user_id,value
1,314,5
1,439,3
1,588,5
1,1169,4
1,1185,4
1,2077,4
1,2487,4
1,2900,5
1,3662,4
1,3922,5
1,5379,5
1,5461,3
1,5885,5
1,6630,5
1,7563,3
1,9246,1
1,10140,4
1,10146,5
1,10246,4
1,10335,4
1,10610,5
1,10944,5
1,11854,4
1,11927,4
1,12471,5
1,13282,5
1,13544,5
1,15494,5
1,16377,4
1,16913,5
1,17434,5
1,17663,5
1,17984,5
1,18031,5
1,18313,5
1,18361,4
1,20076,3
1,20467,3
1,20848,5
1,21228,5
1,21487,4
1,21713,5
1,22602,4
1,23576,4
1,23612,4
1,24326,5
1,24389,4
1,24499,5
1,24834,4
1,24845,5
1,25164,4
1,25182,5
1,25214,4
1,26145,4
1,26629,4
1,26661,4
1,28158,4
1,28767,5
1,29123,3
1,29703,5
1,30681,5
1,31001,4
1,32055,4
1,32305,5
1,32592,4
1,32635,5
1,32748,5
1,32923,5
1,33065,4
1,33697,4
1,33716,5
1,33872,5
1,33890,3
1,37284,5
1,37834,5
1,38080,4
1,38082,5
1,38475,4
1,39423,3
1,41074,3
1,42404,5
1,43985,4
1,44243,2
1,44397,5
1,45269,4
1,45493,5
1,46977,4
1,47476,4
1,47746,5
1,47800,5
1,48482,3
1,49298,4
1,50104,5
1,50342,3
1,51166,4
1,51460,3
1,51480,1
1,51838,5
1,52036,2
1,53245,4
2,1169,3
2,3022,4
2,3922,5
2,5115,4
2,5436,5
2,5461,4
2,5885,4
2,6063,1
2,6342,3
2,6630,5
2,8167,2
2,9731,4
2,10111,5
2,10140,3
2,10288,5
2,10509,2
2,10610,5
2,10751,3
2,10944,5
2,11285,4
2,11408,5
2,11691,4
2,11692,3
2,11868,5
2,11927,5
2,11945,5
2,12874,4
2,12946,5
2,13282,5
2,13794,1
2,14372,3
2,14546,5
2,14603,4
2,15604,4
2,16913,2
2,17434,5
2,17566,4
2,17643,1
2,17663,5
2,17984,5
2,18313,5
2,18361,4
2,19526,4
2,19724,5
2,19729,4
2,19942,5
2,21217,4
2,21228,4
2,21487,5
2,21676,5
2,21733,5
2,22602,4
2,23576,5
2,23612,5
2,24499,5
